448;0;1
696768;1;1
5865920;2;1
11035072;3;1
12853696;4;1
13509056;5;1
14164416;6;1
14819776;7;1
15475136;8;1
16171456;9;1
16867776;10;1
17564096;11;1
22733248;12;1
27902400;13;1
29721024;14;1
31539648;15;1
635456;0;7
5061312;1;7
10230464;2;7
12720768;3;7
13436992;4;7
14092352;5;7
14747712;6;7
15403072;7;7
16110144;8;7
16806464;9;7
17502784;10;7
21928640;11;7
27097792;12;7
29588096;13;7
31406720;14;7
33225344;15;7
655360;0;9
5824512;1;9
10993664;2;9
12812288;3;9
13467648;4;9
14123008;5;9
14778368;6;9
15433728;7;9
16130048;8;9
16826368;9;9
17522688;10;9
22691840;11;9
27860992;12;9
29679616;13;9
31498240;14;9
33316864;15;9
512;0;11
696832;1;11
5059200;1;11
5865984;2;11
10228352;2;11
11035136;3;11
12719424;3;11
12853760;4;11
13509120;5;11
14164480;6;11
14819840;7;11
15475200;8;11
16171520;9;11
16867840;10;11
17564160;11;11
21926528;11;11
22733312;12;11
27095680;12;11
27902464;13;11
29586752;13;11
29721088;14;11
31405376;14;11
31539712;15;11
33224000;15;11
33222400;15;12
31403776;14;12
29585152;13;12
27093376;12;12
21924224;11;12
17502400;10;12
16806080;9;12
16109760;8;12
15402752;7;12
14747392;6;12
14092032;5;12
13436672;4;12
12717824;3;12
10226048;2;12
5056896;1;12
635072;0;12
33488832;0;15
33480640;1;15
33472448;2;15
33464256;3;15
33456064;4;15
33447872;5;15
33439680;6;15
33431488;7;15
33423296;8;15
33415104;9;15
33406912;10;15
33398720;11;15
33390528;12;15
33382336;13;15
33374144;14;15
33365952;15;15
58752;0;19
3755264;1;19
8924416;2;19
11866752;3;19
12864064;4;19
13519424;5;19
14174784;6;19
14830144;7;19
15533440;8;19
16229760;9;19
16926080;10;19
20622592;11;19
25791744;12;19
28734080;13;19
30552704;14;19
32371328;15;19
33365248;15;20
33373440;14;20
33381632;13;20
33389824;12;20
33398016;11;20
33406208;10;20
33414400;9;20
33422592;8;20
33430784;7;20
33438976;6;20
33447168;5;20
33455360;4;20
33463552;3;20
33471744;2;20
33479936;1;20
33488128;0;20
3755328;1;21
8924480;2;21
12864128;4;21
13519488;5;21
14174848;6;21
14830208;7;21
20622656;11;21
25791808;12;21
33365312;15;24
33373504;14;24
33381696;13;24
33389888;12;24
33398080;11;24
33406272;10;24
33414464;9;24
33422656;8;24
33430848;7;24
33439040;6;24
33447232;5;24
33455424;4;24
33463616;3;24
33471808;2;24
33480000;1;24
