	uniform	transpose shuffle tornado
OOE	6.34	2.8	2.13	6.35
MOE	6.57	2.62	1.77	4.57
NOP	6.81	3.28	2.52	6.9
FVC	6.56	2.95	2.45	6.43
WNOF	8.5	3.76	2.54	10.32
