#	uniform	transpose shuffle tornado 
OOE	6.19	2.62	2.59	4.02
MOE	5.49	2.8	2.15	3.96
NOP	6.61	3.31	3.57	6.51
FVC	6.24	2.89	3.26	6.14
WNOF	6.18	3.55	3.51	11.35
